creditor-country;756;Schweiz;
creditor-country;4;Afghanistan;
creditor-country;818;Ägypten;
creditor-country;8;Albanien;
creditor-country;12;Algerien;
creditor-country;16;Amerikanisch-Samoa;
creditor-country;20;Andorra;
creditor-country;24;Angola;
creditor-country;660;Anguilla;
creditor-country;10;Antarktis;
creditor-country;28;Antigua und Barbuda;
creditor-country;226;Äquatorialguinea;
creditor-country;32;Argentinien;
creditor-country;51;Armenien;
creditor-country;533;Aruba;
creditor-country;31;Aserbaidschan;
creditor-country;231;Äthiopien;
creditor-country;36;Australien;
creditor-country;44;Bahamas;
creditor-country;48;Bahrain;
creditor-country;50;Bangladesch;
creditor-country;52;Barbados;
creditor-country;56;Belgien;
creditor-country;84;Belize;
creditor-country;204;Benin;
creditor-country;60;Bermuda;
creditor-country;64;Bhutan;
creditor-country;68;Bolivien;
creditor-country;535;Bonaire, Sint Eustatius und Saba;
creditor-country;70;Bosnien und Herzegowina;
creditor-country;72;Botsuana;
creditor-country;76;Brasilien;
creditor-country;92;Britische Jungferninseln;
creditor-country;86;British Indian Ocean Territory;
creditor-country;96;Brunei Darussalam;
creditor-country;100;Bulgarien;
creditor-country;854;Burkina Faso;
creditor-country;108;Burundi;
creditor-country;152;Chile;
creditor-country;156;China;
creditor-country;184;Cookinseln;
creditor-country;188;Costa Rica;
creditor-country;384;Côte d'Ivoire (Elfenbeinküste);
creditor-country;531;Curaçao;
creditor-country;208;Dänemark;
creditor-country;276;Deutschland;
creditor-country;212;Dominica;
creditor-country;214;Dominikanische Republik;
creditor-country;262;Dschibuti, Republik;
creditor-country;218;Ecuador;
creditor-country;222;El Salvador;
creditor-country;232;Eritrea;
creditor-country;233;Estland;
creditor-country;238;Falklandinseln;
creditor-country;234;Färöer Inseln;
creditor-country;242;Fidschi;
creditor-country;246;Finnland;
creditor-country;250;Frankreich;
creditor-country;254;Französisch-Guyana;
creditor-country;258;Französisch Polynesien;
creditor-country;266;Gabun;
creditor-country;270;Gambia;
creditor-country;268;Georgien;
creditor-country;288;Ghana;
creditor-country;292;Gibraltar;
creditor-country;308;Grenada;
creditor-country;300;Griechenland;
creditor-country;304;Grönland;
creditor-country;826;Grossbritannien;
creditor-country;312;Guadeloupe;
creditor-country;316;Guam;
creditor-country;320;Guatemala;
creditor-country;831;Guernsey;
creditor-country;324;Guinea;
creditor-country;624;Guinea-Bissau;
creditor-country;328;Guyana;
creditor-country;332;Haiti;
creditor-country;340;Honduras;
creditor-country;344;Hong Kong;
creditor-country;356;Indien;
creditor-country;360;Indonesien;
creditor-country;368;Irak;
creditor-country;364;Iran;
creditor-country;372;Irland;
creditor-country;352;Island;
creditor-country;833;Isle of Man;
creditor-country;376;Israel;
creditor-country;380;Italien;
creditor-country;388;Jamaika;
creditor-country;392;Japan;
creditor-country;887;Jemen;
creditor-country;832;Jersey;
creditor-country;400;Jordanien;
creditor-country;136;Kaimaninseln;
creditor-country;116;Kambodscha;
creditor-country;120;Kamerun;
creditor-country;124;Kanada;
creditor-country;132;Kap Verde;
creditor-country;398;Kasachstan;
creditor-country;634;Katar;
creditor-country;404;Kenia;
creditor-country;417;Kirgisistan;
creditor-country;296;Kiribati;
creditor-country;166;Kokosinseln;
creditor-country;170;Kolumbien;
creditor-country;174;Komoren;
creditor-country;178;Kongo;
creditor-country;180;Kongo, Demokratische Republik;
creditor-country;408;Korea, Demokrat. Volksrep. (Nordkorea);
creditor-country;410;Korea, Republik (Südkorea);
creditor-country;901;Kosovo;
creditor-country;191;Kroatien;
creditor-country;192;Kuba;
creditor-country;414;Kuwait;
creditor-country;418;Laos, Demokratische Volksrepublik;
creditor-country;426;Lesotho;
creditor-country;428;Lettland;
creditor-country;422;Libanon;
creditor-country;430;Liberia;
creditor-country;434;Libyen;
creditor-country;438;Liechtenstein;
creditor-country;440;Litauen;
creditor-country;442;Luxemburg;
creditor-country;446;Macao;
creditor-country;450;Madagaskar;
creditor-country;454;Malawi;
creditor-country;458;Malaysia;
creditor-country;462;Malediven;
creditor-country;466;Mali;
creditor-country;470;Malta;
creditor-country;504;Marokko;
creditor-country;584;Marshallinseln;
creditor-country;474;Martinique;
creditor-country;478;Mauretanien;
creditor-country;480;Mauritius;
creditor-country;175;Mayotte;
creditor-country;484;Mexiko;
creditor-country;583;Mikronesien;
creditor-country;498;Moldawien, Republik;
creditor-country;492;Monaco;
creditor-country;496;Mongolei;
creditor-country;499;Montenegro;
creditor-country;500;Montserrat;
creditor-country;508;Mosambik;
creditor-country;104;Myanmar;
creditor-country;516;Namibia;
creditor-country;520;Nauru;
creditor-country;524;Nepal;
creditor-country;540;Neukaledonien;
creditor-country;554;Neuseeland;
creditor-country;558;Nicaragua;
creditor-country;528;Niederlande;
creditor-country;562;Niger;
creditor-country;566;Nigeria;
creditor-country;570;Niue;
creditor-country;580;Nördliche Marianen;
creditor-country;807;Nordmazedonien;
creditor-country;574;Norfolk Insel;
creditor-country;578;Norwegen;
creditor-country;512;Oman;
creditor-country;40;Österreich;
creditor-country;586;Pakistan;
creditor-country;275;Palästina;
creditor-country;585;Palau;
creditor-country;591;Panama;
creditor-country;598;Papua-Neuguinea;
creditor-country;600;Paraguay;
creditor-country;604;Peru;
creditor-country;608;Philippinen;
creditor-country;612;Pitcairn;
creditor-country;616;Polen;
creditor-country;620;Portugal;
creditor-country;630;Puerto Rico;
creditor-country;638;Réunion;
creditor-country;646;Ruanda;
creditor-country;642;Rumänien;
creditor-country;643;Russland;
creditor-country;652;Saint Barthélemy;
creditor-country;654;Saint Helena;
creditor-country;663;Saint Martin;
creditor-country;666;Saint Pierre und Miquelon;
creditor-country;90;Salomonen;
creditor-country;894;Sambia;
creditor-country;882;Samoa;
creditor-country;674;San Marino;
creditor-country;678;São Tomé und Príncipe;
creditor-country;682;Saudi-Arabien;
creditor-country;752;Schweden;
creditor-country;686;Senegal;
creditor-country;688;Serbien;
creditor-country;690;Seychellen;
creditor-country;694;Sierra Leone;
creditor-country;702;Singapur;
creditor-country;534;Sint Maarten;
creditor-country;703;Slowakei;
creditor-country;705;Slowenien;
creditor-country;706;Somalia;
creditor-country;724;Spanien;
creditor-country;144;Sri Lanka;
creditor-country;659;St. Kitts und Nevis;
creditor-country;662;St. Lucia;
creditor-country;670;St. Vincent und die Grenadinen;
creditor-country;710;Südafrika;
creditor-country;729;Sudan;
creditor-country;239;Südgeorgien und Sandwich;
creditor-country;728;Südsudan;
creditor-country;740;Surinam;
creditor-country;744;Svalbard und Jan Mayen;
creditor-country;748;Swasiland;
creditor-country;760;Syrien, Arabische Republik;
creditor-country;762;Tadschikistan;
creditor-country;158;Taiwan;
creditor-country;834;Tansania, Vereinigte Republik;
creditor-country;764;Thailand;
creditor-country;626;Timor-Leste;
creditor-country;768;Togo;
creditor-country;772;Tokelau;
creditor-country;776;Tonga;
creditor-country;780;Trinidad und Tobago;
creditor-country;148;Tschad;
creditor-country;203;Tschechische Republik;
creditor-country;788;Tunesien;
creditor-country;792;Türkei;
creditor-country;795;Turkmenistan;
creditor-country;796;Turks- und Caicosinseln;
creditor-country;798;Tuvalu;
creditor-country;800;Uganda;
creditor-country;804;Ukraine;
creditor-country;348;Ungarn;
creditor-country;858;Uruguay;
creditor-country;860;Usbekistan;
creditor-country;548;Vanuatu;
creditor-country;336;Vatikan;
creditor-country;862;Venezuela;
creditor-country;784;Vereinigte Arabische Emirate;
creditor-country;840;Vereinigte Staaten von Amerika;
creditor-country;704;Vietnam;
creditor-country;850;Virginische Inseln (U.S.);
creditor-country;876;Wallis und Fortuna;
creditor-country;162;Weihnachtsinsel;
creditor-country;112;Weissrussland;
creditor-country;732;Westsahara;
creditor-country;140;Zentralafrikanische Republik;
creditor-country;716;Zimbabwe;
creditor-country;196;Zypern;
debtor-country;756;Schweiz;
debtor-country;4;Afghanistan;
debtor-country;818;Ägypten;
debtor-country;8;Albanien;
debtor-country;12;Algerien;
debtor-country;16;Amerikanisch-Samoa;
debtor-country;20;Andorra;
debtor-country;24;Angola;
debtor-country;660;Anguilla;
debtor-country;10;Antarktis;
debtor-country;28;Antigua und Barbuda;
debtor-country;226;Äquatorialguinea;
debtor-country;32;Argentinien;
debtor-country;51;Armenien;
debtor-country;533;Aruba;
debtor-country;31;Aserbaidschan;
debtor-country;231;Äthiopien;
debtor-country;36;Australien;
debtor-country;44;Bahamas;
debtor-country;48;Bahrain;
debtor-country;50;Bangladesch;
debtor-country;52;Barbados;
debtor-country;56;Belgien;
debtor-country;84;Belize;
debtor-country;204;Benin;
debtor-country;60;Bermuda;
debtor-country;64;Bhutan;
debtor-country;68;Bolivien;
debtor-country;535;Bonaire, Sint Eustatius und Saba;
debtor-country;70;Bosnien und Herzegowina;
debtor-country;72;Botsuana;
debtor-country;76;Brasilien;
debtor-country;92;Britische Jungferninseln;
debtor-country;86;British Indian Ocean Territory;
debtor-country;96;Brunei Darussalam;
debtor-country;100;Bulgarien;
debtor-country;854;Burkina Faso;
debtor-country;108;Burundi;
debtor-country;152;Chile;
